block_id	hash	time	size	weight	version	lock_time	is_coinbase	has_witness	input_count	output_count	input_total	input_total_usd	output_total	output_total_usd	fee	fee_usd	fee_per_kb	fee_per_kb_usd	fee_per_kwu	fee_per_kwu_usd	cdd_total
246	6f80ca7441710cf0942cf99e3e8aa59d38d73b124730306afeb1aec8f08fd76b	2009-01-12 19:35:10	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
247	5f7694d702a9cf2ea6d3f0ddda1a4c488c507709b5440ab5a7aed4a74f4e5401	2009-01-12 19:46:03	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
248	cf7bddc54f693c94a852a93e80ce971358d47b478929772b60cd84a41e0b3451	2009-01-12 20:04:20	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
248	828ef3b079f9c23829c56fe86e85b4a69d9e06e5b54ea597eef5fb3ffef509fe	2009-01-12 20:04:20	276	1104	1	0	0	0	1	2	2800000000	0.28	2800000000	0.28	0	0	0	0	0	0	15.749351851852
249	b415569ce5c39e7397dbea33c02eb9c632cb22ed771b20be5bf0fd0e0256897d	2009-01-12 20:11:35	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
250	d4f94674f0e13387b84e8b3d877e9c458bf00f170a2707ce5fc202084c5d2d0e	2009-01-12 20:34:16	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
251	ee36d141029ce5c0583c1d78b51d703b6da87279219d1fcf2e3cb21ca35f361c	2009-01-12 20:55:59	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
252	242aaea6008ac8c852d6b785748cc46c8dfe1578d94a411fac3c5bd714b4838a	2009-01-12 21:18:34	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
253	658ccc93eb264b6df511e8ade85712e353ddea5e0cfba4658d9836e111f8996d	2009-01-12 21:31:22	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
254	3949d0ae1e01cce3b6073389b628a320eabf93cbc34afebbea1315a397403b50	2009-01-12 21:42:41	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
255	4309bfeed77a70f309da08bcf8948906b9cc26120c0b0ef86e0ac67284bbd79e	2009-01-12 21:54:50	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
256	12b2f144a461e73183571a52332fa727e7b76ee49e212e0695446b7ac78cd3e8	2009-01-12 22:07:53	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
257	214cf5e003c073e162120b143f84b5552816fc27248205533f00b7e5042f2737	2009-01-12 22:26:03	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
258	b8bcf3466dca324bca7f3a81e992a14afcce310adc290e786aa7ec78b89b8f19	2009-01-12 22:45:49	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
259	d776eb69b1729316753621f55d83fd1d29964dcad0a9443bb6c2a5349e28e345	2009-01-12 23:05:41	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
260	4d8ff7ae5fc60f67069f0b4dd5da0d85ae9b64676c05cc01ffc500cf345b14f3	2009-01-12 23:25:28	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
261	fa015e93b37ffe1314bcd6d821fca951978138ee5f417ab1a460ddf34b1943f5	2009-01-12 23:33:43	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
262	8a1289e68161330fdc167aedb8ff464b537d2ed1fcd40bdc6a264694b66581a1	2009-01-12 23:45:47	135	540	1	0	1	0	1	1	0	0	5000000000	0.5	0	0	0	0	0	0	0
